# iteration objective gradient_norm
60 1.489710530052019385e+04 1.317511776720635135e+04
61 1.468008589404608028e+04 1.299249145869059794e+04
62 1.446904643234315517e+04 1.281085299041555299e+04
63 1.426385828285544630e+04 1.263209639015643006e+04
64 1.406442366789384141e+04 1.244809166778256440e+04
65 1.387070896785997138e+04 1.227463714457600690e+04
66 1.368226047534329336e+04 1.211383470673311058e+04
67 1.349871302730386924e+04 1.195485516039064896e+04
68 1.331996905946419247e+04 1.179774859002473750e+04
69 1.314584043965741148e+04 1.164890564617175005e+04
70 1.297608238231552241e+04 1.149996724272935171e+04
71 1.281065063179986464e+04 1.135272380039491509e+04
72 1.264939711692380297e+04 1.121101057896398197e+04
73 1.249214894371153059e+04 1.107188228933679238e+04
74 1.233874205585153504e+04 1.093814178181970419e+04
75 1.218907582181186990e+04 1.079614259629455591e+04
76 1.204328893499178230e+04 1.065547490025037405e+04
77 1.190125294317846419e+04 1.052143908067207849e+04
78 1.176273757894910705e+04 1.039320899922125682e+04
79 1.162752949085945693e+04 1.027267889803161961e+04
80 1.149545278773269274e+04 1.015212054943710973e+04
81 1.136645209702807915e+04 1.003488930819803318e+04
82 1.124034445095494812e+04 9.930992665675712487e+03
83 1.111677107876298396e+04 9.836475613235201308e+03
84 1.099555295806888353e+04 9.739677540245091222e+03
85 1.087671229390610461e+04 9.642974213078587127e+03
86 1.076021397753566634e+04 9.548690820528085169e+03
87 1.064599061449177862e+04 9.453772551099275006e+03
88 1.053401975710423358e+04 9.361690858594009114e+03
89 1.042422796997583464e+04 9.268500935477819439e+03
90 1.031661748520104447e+04 9.174874260889993820e+03
91 1.021116851696528283e+04 9.083377135055317922e+03
92 1.010781793113854837e+04 8.989977374527245047e+03
93 1.000659598730570906e+04 8.896449842945374257e+03
94 9.907460505917837509e+03 8.806360826585856557e+03
95 9.810281802189836526e+03 8.725693204380577299e+03
96 9.714840758091098905e+03 8.649226017388802575e+03
97 9.621077815725546316e+03 8.572240293570030190e+03
98 9.528965254108556110e+03 8.497299893190780494e+03
99 9.438467006138662327e+03 8.420551373659058299e+03
100 9.349620935234110220e+03 8.339569004447688712e+03
101 9.262478383730798669e+03 8.260611170054766262e+03
102 9.176963430453968613e+03 8.184457882875983159e+03
103 9.093022356143153957e+03 8.108303087624822183e+03
104 9.010618078581068403e+03 8.036939817351289093e+03
105 8.929650034023696207e+03 7.966487837174032393e+03
106 8.850086819244344952e+03 7.899484136615173156e+03
107 8.771844975264029927e+03 7.834984446779895734e+03
108 8.694866600057632240e+03 7.773239088729585092e+03
109 8.619089995377999003e+03 7.713894882141843482e+03
110 8.544442719085793215e+03 7.658702717353588923e+03
111 8.470856694652371516e+03 7.605484972962874053e+03
112 8.398276220919093248e+03 7.554310563258470211e+03
113 8.326676907011094954e+03 7.501376973616496798e+03
114 8.256095564226900024e+03 7.444749191708590843e+03
115 8.186599047344206156e+03 7.384515730862559394e+03
116 8.118228367265051020e+03 7.323612969642267672e+03
117 8.050986921818121118e+03 7.261772577999592613e+03
118 7.984872531006594727e+03 7.201714111641950694e+03
119 7.919842919896949752e+03 7.142179825408689794e+03
120 7.855903657174898399e+03 7.078651514879922615e+03
121 7.793105392651918010e+03 7.014379359816618489e+03
122 7.731441487422543105e+03 6.950906693255909886e+03
123 7.670886994308465546e+03 6.888132180579788837e+03
124 7.611413698275820025e+03 6.828061539962212009e+03
125 7.552957196109432516e+03 6.772803056856449984e+03
126 7.495422629617606617e+03 6.722522690775987030e+03
127 7.438739315572258420e+03 6.672503229780189940e+03
128 7.382888239961055660e+03 6.624091614046992618e+03
129 7.327848023419133824e+03 6.575420153813367506e+03
130 7.273610391840013108e+03 6.528678609357479218e+03
131 7.220127858143846424e+03 6.484816393040117873e+03
132 7.167360934167384585e+03 6.441056250215882756e+03
133 7.115301194815278905e+03 6.398886686027640280e+03
134 7.063925441817487808e+03 6.355594271713829585e+03
135 7.013244126824227351e+03 6.311852886012556155e+03
136 6.963266512752610652e+03 6.265911910532890033e+03
137 6.914013822716151481e+03 6.221587988717737062e+03
138 6.865444565726542351e+03 6.180078212931590315e+03
139 6.817519045471697609e+03 6.138751419545261342e+03
140 6.770238824562070477e+03 6.095952290354639445e+03
141 6.723613573469110634e+03 6.054653175172213196e+03
142 6.677605954023758386e+03 6.017064010570207756e+03
143 6.632167512574063949e+03 5.979153914108915160e+03
144 6.587307783890088103e+03 5.939095650686432236e+03
145 6.543046234332180575e+03 5.900282775053118712e+03
146 6.499355301464332115e+03 5.862310215321217584e+03
147 6.456229662345533143e+03 5.823903222184016158e+03
148 6.413664360211702842e+03 5.785757032247477582e+03
149 6.371668176371120353e+03 5.744972878636408495e+03
150 6.330263770023827419e+03 5.703764718865839313e+03
151 6.289457682672791634e+03 5.661079159671761772e+03
152 6.249265327671640080e+03 5.617753172838554747e+03
153 6.209678237434833136e+03 5.576717613481217995e+03
154 6.170662868881292525e+03 5.537340850972927910e+03
155 6.132194169028335637e+03 5.498725520052345018e+03
156 6.094259298726881752e+03 5.461403888017865938e+03
157 6.056828167732089241e+03 5.426489564364022954e+03
158 6.019877703901442146e+03 5.390180173440098770e+03
159 5.983424312462284433e+03 5.353520816590183131e+03
160 5.947457091303592279e+03 5.319224882355989394e+03
161 5.911946349863869727e+03 5.286146390756482106e+03
162 5.876871484550595596e+03 5.254279676009822651e+03
163 5.842218961955280065e+03 5.222427943541602872e+03
164 5.807981836418258354e+03 5.191888259712170111e+03
165 5.774147079081285483e+03 5.160448606575610029e+03
166 5.740727189311762231e+03 5.127107571662339979e+03
167 5.707736959721273706e+03 5.094489924972152039e+03
168 5.675163391062427763e+03 5.062761394268134609e+03
169 5.642993997938302527e+03 5.030999231938669254e+03
170 5.611228666405024342e+03 4.999274359241489947e+03
171 5.579863499561437493e+03 4.967044292751307694e+03
172 5.548905507256125929e+03 4.933711453744437677e+03
173 5.518363658792721253e+03 4.900709918386606660e+03
174 5.488221397147827702e+03 4.870104458261236687e+03
175 5.458453602024398606e+03 4.840093444892669140e+03
176 5.429050706312254988e+03 4.810093494803494650e+03
177 5.400011423329899117e+03 4.780332606372889131e+03
178 5.371337935724440285e+03 4.747850648785800331e+03
179 5.343055923742295818e+03 4.715086139121527594e+03
180 5.315161158025382065e+03 4.683319900035858154e+03
181 5.287639923949189324e+03 4.651564281997292710e+03
182 5.260494552419796491e+03 4.619056164079671362e+03
183 5.233725595025610346e+03 4.586978163080532795e+03
184 5.207327358133996313e+03 4.555819092015181013e+03
185 5.181279417381342682e+03 4.527053486345821511e+03
186 5.155555041689653081e+03 4.499887670656817136e+03
187 5.130134866918040643e+03 4.474356235273868151e+03
188 5.105000454106817415e+03 4.449389029857456080e+03
189 5.080145783597209629e+03 4.424598199301557543e+03
190 5.055570498694952221e+03 4.398671655264589390e+03
191 5.031279971830810609e+03 4.373850714541915295e+03
192 5.007260703708398069e+03 4.350361340452144759e+03
193 4.983494103382722642e+03 4.328478084365757240e+03
194 4.959963952797670572e+03 4.307303681863851125e+03
195 4.936664965003375983e+03 4.285701775988150075e+03
196 4.913597737502404016e+03 4.264589273624196721e+03
197 4.890758765040794970e+03 4.242731387409048693e+03
198 4.868156352976267044e+03 4.220162801336446137e+03
199 4.845793562050697801e+03 4.197879448593038433e+03
200 4.823665820155122674e+03 4.175926169662355278e+03
201 4.801765264805347215e+03 4.155460451682491112e+03
202 4.780076637829809442e+03 4.135639522448115713e+03
203 4.758595812326858322e+03 4.115315122979882290e+03
204 4.737328308589459084e+03 4.094109243447569497e+03
205 4.716281713128852061e+03 4.072184843460552656e+03
